time, A, V, D
1239862,0.21116804,-90.66536,-195838.81
1239879,0.21518084,-87.0414,-197349.31
1239898,0.17758852,-83.31009,-198967.66
1239914,0.13503313,-80.80911,-200280.61
1239931,0.0,-79.66133,-201644.61
1239948,0.0,-79.66133,-202998.86
1239965,0.0,-79.66133,-204353.11
1239980,-0.10752,-80.46773,-205554.08
1239999,-0.196032,-83.35147,-207110.36
1240013,-0.2531392,-86.49567,-208299.3
1240030,-0.29140353,-91.12428,-209809.06
1240046,-0.30636212,-95.90641,-211305.31
1240064,-0.30733728,-101.4297,-213081.34
1240080,-0.31592238,-106.41578,-214744.11
1240097,-0.27307343,-111.42224,-216595.73
1240114,-0.20736408,-115.50596,-218524.62
1240130,-0.11593846,-118.09238,-220393.4
1240146,0.0,-119.01988,-222290.3
1240164,0.10447999,-118.07956,-224424.19
1240180,0.20716801,-115.58637,-226293.52
1240197,0.28078082,-111.438805,-228223.23
1240212,0.2849485,-107.19583,-229863.0
1240229,0.22744909,-102.840454,-231648.31
1240247,0.17294946,-99.23687,-233467.02
1240265,0.11224967,-96.670074,-235230.17
1240281,0.0,-95.77208,-236769.7
1240298,0.0,-95.77208,-238397.83
1240315,0.0,-95.77208,-240025.95
1240330,-0.11551999,-96.63848,-241469.03
1240349,-0.19283201,-99.567825,-243332.98
1240364,-0.24321923,-102.83821,-244851.03
1240381,-0.27745155,-107.263916,-246636.9
1240397,-0.29799092,-111.867455,-248389.95
1240415,-0.30231458,-117.2702,-250452.19
1240431,-0.28890875,-121.99999,-252366.34
1240448,-0.25286525,-126.60507,-254479.48
1240464,-0.19523916,-130.18991,-256533.84
1240480,-0.1166635,-132.68513,-258636.84
1240498,0.0,-133.7351,-261034.62
1240513,0.12047998,-132.83151,-263033.88
1240531,0.204768,-129.90428,-265398.5
1240547,0.24734083,-126.287415,-267448.03
1240562,0.2648845,-122.445724,-269313.53
1240579,0.2594107,-117.98921,-271357.22
1240597,0.21212642,-113.74538,-273442.84
1240614,0.14775583,-110.68638,-275350.5
1240631,0.0,-109.43045,-277221.5
1240648,0.0,-109.43045,-279081.8
1240665,0.0,-109.43045,-280942.12
1240680,-0.10352,-110.20685,-282589.4
1240697,-0.193632,-112.73264,-284484.4
1240714,-0.25969923,-116.58596,-286433.62
1240730,-0.31133956,-121.154274,-288335.56
1240748,-0.34632373,-127.07324,-290569.62
1240765,-0.34731424,-132.96916,-292780.0
1240781,-0.32390854,-138.33894,-294950.47
1240796,-0.25,-142.69136,-296917.7
1240814,-0.22552001,-146.97104,-299669.47
1240831,-0.15083201,-150.17003,-302195.16
1240847,0.0,-151.37668,-304607.53
1240863,0.0,-151.37668,-307029.56
1240880,0.13248001,-150.2506,-309593.4
1240897,0.21196802,-147.32278,-312122.78
1240915,0.23166081,-143.33012,-314738.66
1240931,0.2234765,-139.68903,-317002.8
1240948,0.20256588,-136.06767,-319346.75
1240965,0.14601955,-133.10469,-321634.72
1240981,0.0,-131.93654,-323755.06
1240998,0.0,-131.93654,-325997.97
1241015,0.0,-131.93654,-328240.88
1241030,-0.11151999,-132.77293,-330226.2
1241049,-0.198432,-135.71748,-332776.84
1241064,-0.27057922,-139.23506,-334839.0
1241083,-0.30586755,-144.7113,-337536.5
1241097,-0.31504053,-149.05766,-339592.88
1241115,-0.31654435,-154.74193,-342327.06
1241130,-0.30944663,-159.43686,-344683.4
1241148,-0.253188,-164.50056,-347598.84
1241164,-0.1674328,-167.86552,-350257.78
1241181,0.0,-169.2887,-353123.6
1241197,0.10048,-168.48486,-355825.78
1241213,0.208768,-166.01088,-358501.75
1241231,0.38,-161.84155,-361288.5
